ENV,REP,GEN,GY
5,2,20,3.43
5,3,1,3.98
5,3,2,4.46
5,3,3,4.91
5,3,4,3.16
5,3,5,4.96
5,3,6,3.76
5,3,7,5.61
5,3,8,4.28
5,3,9,3.93
5,3,10,4.04
5,3,11,4.4
5,3,12,4.04
5,3,13,3.94
5,3,14,4.95
5,3,15,3.78
5,3,16,4.58
5,3,17,4.23
5,3,18,3.89
5,3,19,3.75
5,3,20,4.29
6,1,1,4.2
6,1,2,4.41
6,1,3,3.95
6,1,4,3.1
6,1,5,5.13
6,1,6,5.2
6,1,7,5.08
6,1,8,5.08
6,1,9,4.95
6,1,10,4.78
6,1,11,4.35
6,1,12,4.98
6,1,13,3.65
6,1,14,4.04
6,1,15,3.93
6,1,16,4.27
6,1,17,4.76
6,1,18,3.56
6,1,19,4.12
6,1,20,4.19
6,2,1,4.31
6,2,2,4.15
6,2,3,4.93
6,2,4,3.46
6,2,5,4.76
6,2,6,4.82
6,2,7,4.12
6,2,8,4.46
6,2,9,4.91
6,2,10,3.77
6,2,11,3.64
6,2,12,4.09
6,2,13,4.87
6,2,14,4.76
6,2,15,3.56
6,2,16,3.98
6,2,17,5.46
6,2,18,4.3
6,2,19,4.74
6,2,20,4.43
6,3,1,4.14
6,3,2,4.32
6,3,3,4.42
6,3,4,3.72
6,3,5,4.39
6,3,6,4.43
6,3,7,4.4
6,3,8,3.92
6,3,9,4.27
6,3,10,4.08
6,3,11,3.92
6,3,12,4.37
6,3,13,4.11
6,3,14,5.21
6,3,15,4.4
6,3,16,4.91
6,3,17,5.19
6,3,18,3.74
6,3,19,3.58
6,3,20,4.21
7,1,1,1.76
7,1,2,1.5
7,1,3,1.62
7,1,4,1.7
7,1,5,1.67
7,1,6,1.45
7,1,7,1.29
7,1,8,1.58
7,1,9,2.17
7,1,10,1.87
7,1,11,1.91
7,1,12,1.85
7,1,13,1.7
7,1,14,2.3
7,1,15,1.71
7,1,16,1.47
7,1,17,1.54
7,1,18,1.45
7,1,19,1.63
7,1,20,1.91
7,2,1,1.8
7,2,2,1.8
7,2,3,1.8
7,2,4,1.9
7,2,5,1.94
7,2,6,1.5
7,2,7,1.45
7,2,8,1.4
7,2,9,2.16
7,2,10,1.87
7,2,11,1.84
7,2,12,1.62
7,2,13,1.9
7,2,14,2.03
7,2,15,1.65
7,2,16,1.75
7,2,17,1.59
7,2,18,1.31
7,2,19,1.65
7,2,20,1.76
7,3,1,1.5
7,3,2,1.65
7,3,3,1.75
7,3,4,1.8
7,3,5,1.9
7,3,6,1.65
7,3,7,1.2
7,3,8,1.47
7,3,9,2.01
7,3,10,1.75
7,3,11,1.75
7,3,12,1.84
7,3,13,1.7
7,3,14,1.95
7,3,15,1.6
7,3,16,1.5
7,3,17,1.54
7,3,18,1.5
7,3,19,1.45
7,3,20,1.6
8,1,1,4.89
8,1,2,4.17
8,1,3,4.49
8,1,4,4.72
8,1,5,4.63
8,1,6,4.03
8,1,7,3.58
8,1,8,4.39
8,1,9,6.01
8,1,10,5.18
8,1,11,5.31
8,1,12,5.14
8,1,13,4.71
8,1,14,6.39
8,1,15,4.74
8,1,16,4.07
8,1,17,4.28
8,1,18,4.03
8,1,19,4.53
